TIME(2022/02/09 15:49:20.545),TIMETICK(f=10000000),FPOGX,FPOGY
4.46704,724243625621,0.49252,-0.72965
4.47382,724243693056,0.49252,-0.72965
4.48108,724243765656,0.75178,-0.54238
4.48633,724243818246,0.76419,-0.57432
4.49316,724243886622,0.64076,-0.68391
4.50073,724243962205,0.64076,-0.68391
4.50653,724244020219,0.52906,-0.7834
4.51318,724244087193,0.53491,-0.77834
4.5199,724244153813,0.53491,-0.77834
4.52649,724244219662,0.53491,-0.77834
4.53528,724244307722,0.53491,-0.77834
4.53998,724244355105,0.54077,-0.77328
4.54791,724244433950,0.54077,-0.77328
4.55341,724244489277,0.54077,-0.77328
4.56122,724244567388,0.0,0.0
4.56665,724244621470,0.0,0.0
4.57501,724244705316,0.0,0.0
4.58118,724244767046,0.0,0.0
4.58832,724244838403,0.0,0.0
4.59503,724244905325,0.0,0.0
4.60199,724244974778,0.0,0.0
4.60834,724245038642,0.0,0.0
4.61365,724245091442,0.0,0.0
4.62036,724245158906,0.0,0.0
4.62714,724245226431,0.21172,-0.30311
4.63385,724245293298,0.28229,-0.40415
4.6405,724245359926,0.62252,-0.51951
4.64722,724245427101,0.70948,-0.70833
4.65472,724245502215,0.73846,-0.77127
4.66046,724245559655,0.66684,-0.50297
4.6673,724245628156,0.75971,-0.45738
4.67468,724245702049,0.87687,-0.39727
4.68231,724245777970,0.91849,-0.39349
4.68774,724245832541,1.00355,-0.41116
4.69501,724245905111,1.00922,-0.46077
4.70148,724245969666,0.81187,-0.18825
4.70746,724246029761,0.61697,0.0775
4.71503,724246105093,0.51792,0.23181
4.7215,724246170037,0.48968,0.28173
4.72754,724246230220,0.42737,0.384
4.73413,724246296155,0.42872,0.38415
